,tweet_id,text,retweeted_status_id,rating_numerator,rating_denominator,name,Date,Time,Dog_Lingo,dog_breed_prediction1,dog_breed_prediction2,dog_breed_prediction3,favorite_count,lang,retweet_count
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,13.0,10,PHINEAS,2017-08-01,16:23:56 ,,orange,bagel,banana,39467,en,8853
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,13.0,10,TILLY,2017-08-01,00:17:27 ,,Chihuahua,Pekinese,papillon,33819,en,6514
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,12.0,10,ARCHIE,2017-07-31,00:18:03 ,,Chihuahua,malamute,kelpie,25461,en,4328
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,13.0,10,DARLA,2017-07-30,15:58:51 ,,paper_towel,Labrador_retriever,spatula,42908,en,8964
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,12.0,10,FRANKLIN,2017-07-29,16:00:24 ,,basset,English_springer,German_short-haired_pointer,41048,en,9774
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,13.0,10,,2017-07-29,00:08:17 ,,Chesapeake_Bay_retriever,Irish_terrier,Indian_elephant,20562,en,3261
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,13.0,10,JAX,2017-07-28,16:27:12 ,,Appenzeller,Border_collie,ice_lolly,12041,en,2158
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,13.0,10,,2017-07-28,00:22:40 ,,Pomeranian,Eskimo_dog,Pembroke,56848,en,16716
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,13.0,10,ZOEY,2017-07-27,16:25:51 ,,Irish_terrier,Irish_setter,Chesapeake_Bay_retriever,28226,en,4429
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,14.0,10,CASSIE,2017-07-26,15:59:51 ,doggo,Pembroke,Cardigan,Chihuahua,32467,en,7711
